worker_id,sex,social_group,age,years_education,experience,rural_urban,state,activity_status,sector,formality,monthly_wage,survey_weight,log_wage,female,informal,urban,group_OBC,group_SC,group_ST,sector_Industry,sector_Services
W00033,Male,General,64,12.0,46,Rural,Andhra Pradesh,Employed,Industry,Informal,28824.0,1.4393,10.26896365242793,0,1,0,0,0,0,1,0
W00034,Male,OBC,46,3.0,37,Rural,Gujarat,Employed,Agriculture,Informal,5254.0,1.097,8.566744970245486,0,1,0,1,0,0,0,0
W00035,Male,OBC,42,5.0,31,Rural,Karnataka,Employed,Agriculture,Informal,8055.0,1.3452,8.994048295611075,0,1,0,1,0,0,0,0
W00036,Male,General,54,10.0,38,Urban,Uttar Pradesh,Employed,Services,Informal,15954.0,1.0665,9.677464860471074,0,1,1,0,0,0,0,1
W00037,Male,SC,39,5.0,28,Rural,Madhya Pradesh,Employed,Agriculture,Informal,14329.0,1.1214,9.570040734716603,0,1,0,0,1,0,0,0
W00038,Male,General,28,11.0,11,Rural,Rajasthan,Outside_LF,NA,NA,0.0,1.4383,,0,0,0,0,0,0,0,0
W00039,Male,SC,41,11.0,24,Urban,Kerala,Employed,Agriculture,Informal,12235.0,0.916,9.412055975876772,0,1,1,0,1,0,0,0
W00040,Female,SC,51,5.0,40,Urban,Kerala,Outside_LF,NA,NA,0.0,0.8758,,1,0,1,0,1,0,0,0
W00041,Male,General,49,8.0,35,Rural,Jharkhand,Outside_LF,NA,NA,0.0,1.4923,,0,0,0,0,0,0,0,0
W00042,Female,General,23,7.0,10,Rural,Tamil Nadu,Outside_LF,NA,NA,0.0,1.3502,,1,0,0,0,0,0,0,0
W00043,Female,OBC,61,12.0,43,Rural,Madhya Pradesh,Outside_LF,NA,NA,0.0,1.1594,,1,0,0,1,0,0,0,0
W00044,Male,OBC,29,14.0,9,Rural,Karnataka,Employed,Agriculture,Informal,11927.0,1.2743,9.386560016578668,0,1,0,1,0,0,0,0
W00045,Female,General,55,11.0,38,Rural,Telangana,Outside_LF,NA,NA,0.0,1.3289,,1,0,0,0,0,0,0,0
W00046,Female,ST,30,0.0,24,Urban,Andhra Pradesh,Outside_LF,NA,NA,0.0,1.0213,,1,0,1,0,0,1,0,0
W00047,Male,General,18,12.0,0,Urban,Andhra Pradesh,Employed,Agriculture,Informal,42002.0,0.8404,10.645472515179373,0,1,1,0,0,0,0,0
W00048,Male,SC,64,9.0,49,Rural,Tamil Nadu,Employed,Industry,Informal,10932.0,1.316,9.299449547047958,0,1,0,0,1,0,1,0
W00049,Female,General,44,10.0,28,Rural,Odisha,Outside_LF,NA,NA,0.0,1.4267,,1,0,0,0,0,0,0,0
W00050,Male,ST,25,4.0,15,Rural,Jharkhand,Employed,Agriculture,Informal,6956.0,1.4058,8.847359875474174,0,1,0,0,0,1,0,0
W00051,Male,General,15,10.0,0,Rural,Odisha,Outside_LF,NA,NA,0.0,1.1613,,0,0,0,0,0,0,0,0
W00052,Male,OBC,21,8.0,7,Rural,Tamil Nadu,Employed,Services,Informal,13175.0,1.4857,9.486076373409563,0,1,0,1,0,0,0,1
W00053,Female,OBC,23,4.0,13,Rural,Kerala,Employed,Agriculture,Informal,7366.0,1.026,8.904630097005011,1,1,0,1,0,0,0,0
W00054,Female,General,61,13.0,42,Rural,Punjab,Outside_LF,NA,NA,0.0,1.3939,,1,0,0,0,0,0,0,0
W00055,Female,SC,23,8.0,9,Urban,Telangana,Outside_LF,NA,NA,0.0,0.8792,,1,0,1,0,1,0,0,0
W00056,Female,General,23,9.0,8,Rural,Jharkhand,Employed,Services,Informal,7526.0,1.4718,8.926118971153382,1,1,0,0,0,0,0,1
W00057,Male,OBC,56,10.0,40,Rural,West Bengal,Employed,Agriculture,Informal,15363.0,1.4333,9.63971730013066,0,1,0,1,0,0,0,0
W00058,Female,OBC,58,9.0,43,Rural,Tamil Nadu,Employed,Agriculture,Informal,8848.0,1.443,9.087946723762116,1,1,0,1,0,0,0,0
W00059,Male,OBC,25,16.0,3,Rural,West Bengal,Unemployed,NA,NA,0.0,1.1409,,0,0,0,1,0,0,0,0
W00060,Male,General,47,14.0,27,Rural,Rajasthan,Employed,Industry,Informal,31626.0,1.4023,10.361734846083262,0,1,0,0,0,0,1,0
W00061,Female,General,41,12.0,23,Rural,Telangana,Outside_LF,NA,NA,0.0,1.1797,,1,0,0,0,0,0,0,0
W00062,Male,General,43,12.0,25,Rural,Odisha,Employed,Services,Formal,17495.0,1.2347,9.769670404801788,0,0,0,0,0,0,0,1
W00063,Female,OBC,30,6.0,18,Urban,Uttar Pradesh,Employed,Industry,Informal,7729.0,1.0906,8.952734767106872,1,1,1,1,0,0,1,0
W00064,Female,General,52,13.0,33,Urban,Telangana,Employed,Agriculture,Informal,11398.0,1.0244,9.341193180394946,1,1,1,0,0,0,0,0
W00065,Female,ST,59,6.0,47,Rural,Bihar,Employed,Industry,Informal,4529.0,1.3275,8.418256443556213,1,1,0,0,0,1,1,0
W00066,Female,OBC,51,5.0,40,Rural,Bihar,Outside_LF,NA,NA,0.0,1.0819,,1,0,0,1,0,0,0,0
W00067,Female,OBC,60,9.0,45,Rural,Gujarat,Outside_LF,NA,NA,0.0,1.2784,,1,0,0,1,0,0,0,0
W00068,Male,OBC,20,12.0,2,Rural,West Bengal,Outside_LF,NA,NA,0.0,1.0793,,0,0,0,1,0,0,0,0
W00069,Male,General,47,6.0,35,Urban,Punjab,Outside_LF,NA,NA,0.0,0.792,,0,0,1,0,0,0,0,0
W00070,Male,OBC,64,7.0,51,Rural,Bihar,Employed,Agriculture,Informal,7862.0,1.4744,8.969796305981806,0,1,0,1,0,0,0,0
W00071,Male,General,41,13.0,22,Urban,Bihar,Outside_LF,NA,NA,0.0,0.9783,,0,0,1,0,0,0,0,0
W00072,Male,OBC,62,4.0,52,Urban,Telangana,Employed,Industry,Informal,13493.0,0.7672,9.509926311430787,0,1,1,1,0,0,1,0
W00073,Female,OBC,32,3.0,23,Rural,Madhya Pradesh,Outside_LF,NA,NA,0.0,1.2451,,1,0,0,1,0,0,0,0
W00074,Male,OBC,59,9.0,44,Rural,Odisha,Outside_LF,NA,NA,0.0,1.1576,,0,0,0,1,0,0,0,0
W00075,Male,ST,61,7.0,48,Rural,Odisha,Employed,Agriculture,Formal,8540.0,1.0939,9.052516286782616,0,0,0,0,0,1,0,0
W00076,Male,General,46,13.0,27,Rural,Bihar,Employed,Agriculture,Informal,10717.0,1.4132,9.279586544712997,0,1,0,0,0,0,0,0
W00077,Male,OBC,50,14.0,30,Rural,Gujarat,Employed,Agriculture,Informal,10136.0,1.0937,9.223848722000975,0,1,0,1,0,0,0,0
W00078,Female,General,41,10.0,25,Urban,Gujarat,Outside_LF,NA,NA,0.0,0.8249,,1,0,1,0,0,0,0,0
W00079,Female,OBC,30,6.0,18,Rural,Maharashtra,Outside_LF,NA,NA,0.0,1.1317,,1,0,0,1,0,0,0,0
W00080,Female,OBC,41,4.0,31,Rural,Telangana,Outside_LF,NA,NA,0.0,1.362,,1,0,0,1,0,0,0,0
W00081,Female,General,63,8.0,49,Rural,Kerala,Employed,Services,Informal,13602.0,1.1116,9.517972119735584,1,1,0,0,0,0,0,1
W00082,Male,OBC,15,11.0,0,Rural,Punjab,Outside_LF,NA,NA,0.0,1.1743,,0,0,0,1,0,0,0,0
W00083,Female,OBC,25,10.0,9,Rural,Maharashtra,Outside_LF,NA,NA,0.0,1.4531,,1,0,0,1,0,0,0,0
W00084,Male,General,39,12.0,21,Urban,Bihar,Employed,Services,Informal,30708.0,0.9685,10.33227848594779,0,1,1,0,0,0,0,1
W00085,Male,ST,31,7.0,18,Rural,Kerala,Employed,Agriculture,Informal,11549.0,1.103,9.354354132115088,0,1,0,0,0,1,0,0
W00086,Male,OBC,46,13.0,27,Rural,Madhya Pradesh,Employed,Agriculture,Informal,18545.0,1.4328,9.827955489923692,0,1,0,1,0,0,0,0
W00087,Female,SC,33,6.0,21,Rural,Andhra Pradesh,Outside_LF,NA,NA,0.0,1.2658,,1,0,0,0,1,0,0,0
W00088,Male,OBC,47,13.0,28,Rural,Rajasthan,Employed,Services,Informal,16716.0,1.4204,9.724121623567806,0,1,0,1,0,0,0,1
W00089,Male,ST,20,3.0,11,Rural,West Bengal,Employed,Services,Formal,5011.0,1.0578,8.519390774959724,0,0,0,0,0,1,0,1
W00090,Male,General,31,11.0,14,Urban,Andhra Pradesh,Employed,Agriculture,Informal,13612.0,0.8233,9.518707035620796,0,1,1,0,0,0,0,0
W00091,Male,OBC,49,8.0,35,Rural,West Bengal,Outside_LF,NA,NA,0.0,1.0641,,0,0,0,1,0,0,0,0
W00092,Female,SC,38,8.0,24,Urban,Bihar,Outside_LF,NA,NA,0.0,0.9382,,1,0,1,0,1,0,0,0
W00093,Male,OBC,50,7.0,37,Urban,Karnataka,Unemployed,NA,NA,0.0,0.9045,,0,0,1,1,0,0,0,0
W00094,Male,OBC,46,9.0,31,Rural,Bihar,Employed,Agriculture,Informal,18473.0,1.2197,9.824065485558638,0,1,0,1,0,0,0,0
W00095,Male,ST,31,0.0,25,Rural,Bihar,Outside_LF,NA,NA,0.0,1.1959,,0,0,0,0,0,1,0,0
W00096,Female,OBC,36,9.0,21,Urban,Telangana,Employed,Agriculture,Informal,13154.0,0.9177,9.484481173861296,1,1,1,1,0,0,0,0
W00097,Male,OBC,63,13.0,44,Urban,Karnataka,Employed,Industry,Informal,17962.0,0.9022,9.796013694230895,0,1,1,1,0,0,1,0
W00098,Male,OBC,63,12.0,45,Rural,Gujarat,Employed,Industry,Informal,20167.0,1.0966,9.911802884139842,0,1,0,1,0,0,1,0
W00099,Male,SC,16,10.0,0,Rural,Bihar,Employed,Agriculture,Informal,15707.0,1.2932,9.661861751843032,0,1,0,0,1,0,0,0
W00100,Female,SC,50,8.0,36,Rural,Bihar,Outside_LF,NA,NA,0.0,1.4372,,1,0,0,0,1,0,0,0
W00101,Female,OBC,39,9.0,24,Urban,Rajasthan,Outside_LF,NA,NA,0.0,1.1229,,1,0,1,1,0,0,0,0
W00102,Female,General,15,11.0,0,Urban,Rajasthan,Outside_LF,NA,NA,0.0,0.8072,,1,0,1,0,0,0,0,0
W00103,Male,General,46,13.0,27,Urban,Tamil Nadu,Employed,Agriculture,Informal,19061.0,0.913,9.855399641729074,0,1,1,0,0,0,0,0
W00104,Female,OBC,16,6.0,4,Rural,Bihar,Outside_LF,NA,NA,0.0,1.1357,,1,0,0,1,0,0,0,0
W00105,Female,SC,30,5.0,19,Rural,Jharkhand,Employed,Services,Informal,9629.0,1.2921,9.172534657240284,1,1,0,0,1,0,0,1
W00106,Female,OBC,49,8.0,35,Urban,Rajasthan,Employed,Services,Informal,6573.0,0.8947,8.790725628263576,1,1,1,1,0,0,0,1
W00107,Male,General,55,11.0,38,Rural,Kerala,Employed,Industry,Informal,29881.0,1.4413,10.304978105888882,0,1,0,0,0,0,1,0
W00108,Male,General,35,7.0,22,Urban,Tamil Nadu,Outside_LF,NA,NA,0.0,1.1017,,0,0,1,0,0,0,0,0
W00109,Male,OBC,55,6.0,43,Rural,Karnataka,Outside_LF,NA,NA,0.0,1.176,,0,0,0,1,0,0,0,0
W00110,Female,SC,56,6.0,44,Urban,Maharashtra,Outside_LF,NA,NA,0.0,0.8933,,1,0,1,0,1,0,0,0
W00111,Male,General,37,14.0,17,Urban,Odisha,Employed,Agriculture,Informal,36978.0,0.9576,10.518078420190298,0,1,1,0,0,0,0,0
W00112,Male,OBC,23,10.0,7,Rural,Uttar Pradesh,Employed,Agriculture,Informal,11626.0,1.3251,9.360999248261296,0,1,0,1,0,0,0,0
W00113,Male,SC,47,15.0,26,Rural,Telangana,Employed,Agriculture,Informal,14229.0,1.3812,9.563037414545692,0,1,0,0,1,0,0,0
W00114,Female,ST,15,2.0,7,Urban,Jharkhand,Outside_LF,NA,NA,0.0,0.801,,1,0,1,0,0,1,0,0
W00115,Male,General,59,13.0,40,Rural,Rajasthan,Outside_LF,NA,NA,0.0,1.0445,,0,0,0,0,0,0,0,0
W00116,Female,ST,34,8.0,20,Urban,Jharkhand,Outside_LF,NA,NA,0.0,1.0092,,1,0,1,0,0,1,0,0
W00117,Female,OBC,53,10.0,37,Rural,Odisha,Employed,Services,Informal,8427.0,1.2498,9.039196115772354,1,1,0,1,0,0,0,1
W00118,Female,SC,51,7.0,38,Rural,Uttar Pradesh,Outside_LF,NA,NA,0.0,1.3429,,1,0,0,0,1,0,0,0
W00119,Male,General,38,14.0,18,Rural,West Bengal,Employed,Industry,Informal,10950.0,1.1648,9.301094735244646,0,1,0,0,0,0,1,0
W00120,Female,OBC,63,8.0,49,Urban,Andhra Pradesh,Outside_LF,NA,NA,0.0,0.827,,1,0,1,1,0,0,0,0
W00121,Female,OBC,54,12.0,36,Urban,Odisha,Employed,Agriculture,Informal,13803.0,0.8051,9.532641238823578,1,1,1,1,0,0,0,0
W00122,Female,OBC,59,11.0,42,Urban,Maharashtra,Employed,Agriculture,Informal,7997.0,1.0481,8.98682175033189,1,1,1,1,0,0,0,0
W00123,Male,OBC,19,7.0,6,Urban,Odisha,Employed,Services,Formal,8494.0,0.9101,9.047115310873217,0,0,1,1,0,0,0,1
W00124,Male,OBC,39,10.0,23,Rural,Kerala,Unemployed,NA,NA,0.0,1.0598,,0,0,0,1,0,0,0,0
W00125,Male,OBC,62,5.0,51,Urban,Maharashtra,Employed,Agriculture,Informal,6138.0,0.8538,8.722254235179681,0,1,1,1,0,0,0,0
W00126,Male,General,55,16.0,33,Rural,Jharkhand,Employed,Agriculture,Informal,14126.0,1.4335,9.555772349968867,0,1,0,0,0,0,0,0
W00127,Male,OBC,37,10.0,21,Rural,Karnataka,Employed,Industry,Informal,25471.0,1.2511,10.145295829079494,0,1,0,1,0,0,1,0
W00128,Male,General,18,15.0,0,Rural,Andhra Pradesh,Employed,Industry,Informal,21258.0,1.4296,9.964488574093528,0,1,0,0,0,0,1,0
W00129,Male,SC,29,7.0,16,Rural,Uttar Pradesh,Employed,Services,Formal,22141.0,1.4738,10.005186372360962,0,0,0,0,1,0,0,1
W00130,Female,ST,43,0.0,37,Urban,Andhra Pradesh,Employed,Agriculture,Informal,6085.0,0.7891,8.713582005421628,1,1,1,0,0,1,0,0
W00131,Male,General,47,19.0,22,Rural,Tamil Nadu,Outside_LF,NA,NA,0.0,1.4727,,0,0,0,0,0,0,0,0
W00132,Female,General,61,10.0,45,Urban,Rajasthan,Outside_LF,NA,NA,0.0,0.8986,,1,0,1,0,0,0,0,0
W00133,Female,General,19,7.0,6,Urban,Telangana,Outside_LF,NA,NA,0.0,1.0164,,1,0,1,0,0,0,0,0
W00134,Male,OBC,34,13.0,15,Rural,West Bengal,Employed,Agriculture,Formal,16424.0,1.2135,9.70649895869877,0,0,0,1,0,0,0,0
W00135,Female,SC,28,11.0,11,Rural,Uttar Pradesh,Outside_LF,NA,NA,0.0,1.315,,1,0,0,0,1,0,0,0
W00136,Male,OBC,63,9.0,48,Urban,Karnataka,Employed,Industry,Formal,19558.0,1.0061,9.88113968887222,0,0,1,1,0,0,1,0
W00137,Female,General,23,9.0,8,Rural,Telangana,Outside_LF,NA,NA,0.0,1.0838,,1,0,0,0,0,0,0,0
W00138,Male,General,26,12.0,8,Urban,Bihar,Employed,Services,Formal,20805.0,0.9202,9.942948621417042,0,0,1,0,0,0,0,1
W00139,Female,General,29,6.0,17,Rural,Punjab,Outside_LF,NA,NA,0.0,1.1192,,1,0,0,0,0,0,0,0
W00140,Male,SC,20,6.0,8,Rural,Odisha,Employed,Agriculture,Informal,13375.0,1.0773,9.501142571764207,0,1,0,0,1,0,0,0
W00141,Male,OBC,47,14.0,27,Rural,Punjab,Employed,Agriculture,Informal,10273.0,1.3041,9.237274373216264,0,1,0,1,0,0,0,0
W00142,Male,OBC,41,9.0,26,Rural,Karnataka,Outside_LF,NA,NA,0.0,1.3465,,0,0,0,1,0,0,0,0
W00143,Female,OBC,42,5.0,31,Rural,Maharashtra,Outside_LF,NA,NA,0.0,1.1436,,1,0,0,1,0,0,0,0
W00144,Female,ST,60,3.0,51,Rural,Bihar,Employed,Services,Formal,5014.0,1.0235,8.519989278718239,1,0,0,0,0,1,0,1
W00145,Male,OBC,36,13.0,17,Rural,Karnataka,Employed,Services,Formal,37363.0,1.486,10.528436188904791,0,0,0,1,0,0,0,1
W00146,Male,SC,30,2.0,22,Urban,Gujarat,Outside_LF,NA,NA,0.0,0.9359,,0,0,1,0,1,0,0,0
W00147,Male,SC,33,8.0,19,Rural,Telangana,Outside_LF,NA,NA,0.0,1.3329,,0,0,0,0,1,0,0,0
W00148,Female,OBC,55,14.0,35,Rural,Telangana,Outside_LF,NA,NA,0.0,1.0561,,1,0,0,1,0,0,0,0
W00149,Male,SC,41,13.0,22,Rural,Telangana,Employed,Agriculture,Informal,20526.0,1.3177,9.92944765420566,0,1,0,0,1,0,0,0
W00150,Male,General,23,13.0,4,Rural,Gujarat,Employed,Agriculture,Informal,11613.0,1.386,9.359880439245758,0,1,0,0,0,0,0,0
W00151,Female,OBC,49,11.0,32,Rural,Uttar Pradesh,Employed,Industry,Informal,18275.0,1.0427,9.81328928461798,1,1,0,1,0,0,1,0
W00152,Female,General,52,13.0,33,Urban,Karnataka,Outside_LF,NA,NA,0.0,0.9535,,1,0,1,0,0,0,0,0
W00153,Male,OBC,27,9.0,12,Rural,Kerala,Employed,Agriculture,Informal,13804.0,1.0882,9.532713684217894,0,1,0,1,0,0,0,0
W00154,Female,General,42,12.0,24,Urban,Kerala,Outside_LF,NA,NA,0.0,0.8179,,1,0,1,0,0,0,0,0
W00155,Male,General,43,17.0,20,Rural,Kerala,Employed,Agriculture,Informal,33907.0,1.3151,10.431376761728,0,1,0,0,0,0,0,0
W00156,Female,General,23,6.0,11,Rural,Uttar Pradesh,Outside_LF,NA,NA,0.0,1.3172,,1,0,0,0,0,0,0,0
W00157,Male,OBC,15,11.0,0,Rural,Tamil Nadu,Outside_LF,NA,NA,0.0,1.2858,,0,0,0,1,0,0,0,0
W00158,Female,OBC,50,9.0,35,Urban,Andhra Pradesh,Outside_LF,NA,NA,0.0,0.9487,,1,0,1,1,0,0,0,0
W00159,Female,OBC,45,8.0,31,Urban,West Bengal,Outside_LF,NA,NA,0.0,0.9342,,1,0,1,1,0,0,0,0
W00160,Female,OBC,50,8.0,36,Rural,Tamil Nadu,Outside_LF,NA,NA,0.0,1.251,,1,0,0,1,0,0,0,0
W00161,Male,ST,33,6.0,21,Urban,Maharashtra,Unemployed,NA,NA,0.0,0.8854,,0,0,1,0,0,1,0,0
W00162,Female,ST,40,5.0,29,Rural,Bihar,Employed,Industry,Formal,9405.0,1.1435,9.14899674173513,1,0,0,0,0,1,1,0
W00163,Male,General,64,15.0,43,Rural,Uttar Pradesh,Employed,Industry,Informal,14672.0,1.1475,9.593696194496246,0,1,0,0,0,0,1,0
W00164,Male,OBC,26,11.0,9,Urban,Punjab,Employed,Agriculture,Informal,11589.0,1.0919,9.35781165133439,0,1,1,1,0,0,0,0
W00165,Female,OBC,47,7.0,34,Rural,Kerala,Outside_LF,NA,NA,0.0,1.148,,1,0,0,1,0,0,0,0
W00166,Male,SC,21,5.0,10,Rural,Tamil Nadu,Employed,Agriculture,Informal,12823.0,1.1998,9.458995712459116,0,1,0,0,1,0,0,0
W00167,Female,OBC,18,6.0,6,Rural,Uttar Pradesh,Employed,Agriculture,Informal,11586.0,1.262,9.35755275165657,1,1,0,1,0,0,0,0
W00168,Female,SC,62,6.0,50,Urban,Rajasthan,Employed,Services,Informal,8774.0,1.0324,9.07954808172616,1,1,1,0,1,0,0,1
W00169,Male,General,21,10.0,5,Rural,Tamil Nadu,Outside_LF,NA,NA,0.0,1.393,,0,0,0,0,0,0,0,0
W00170,Female,OBC,47,10.0,31,Urban,Bihar,Outside_LF,NA,NA,0.0,1.0248,,1,0,1,1,0,0,0,0
W00171,Male,OBC,40,11.0,23,Rural,Andhra Pradesh,Employed,Industry,Formal,12440.0,1.1655,9.42867236629317,0,0,0,1,0,0,1,0
W00172,Male,OBC,55,13.0,36,Urban,Punjab,Outside_LF,NA,NA,0.0,0.8237,,0,0,1,1,0,0,0,0
W00173,Male,SC,42,6.0,30,Rural,Kerala,Outside_LF,NA,NA,0.0,1.4122,,0,0,0,0,1,0,0,0
W00174,Female,General,49,7.0,36,Rural,Kerala,Outside_LF,NA,NA,0.0,1.4398,,1,0,0,0,0,0,0,0
W00175,Male,General,59,15.0,38,Rural,Kerala,Outside_LF,NA,NA,0.0,1.4582,,0,0,0,0,0,0,0,0
W00176,Male,General,56,12.0,38,Rural,Maharashtra,Outside_LF,NA,NA,0.0,1.432,,0,0,0,0,0,0,0,0
W00177,Male,General,51,11.0,34,Rural,Gujarat,Outside_LF,NA,NA,0.0,1.1935,,0,0,0,0,0,0,0,0
W00178,Female,General,23,11.0,6,Urban,Gujarat,Employed,Services,Formal,28248.0,0.8203,10.248777937608223,1,0,1,0,0,0,0,1
W00179,Female,OBC,23,9.0,8,Rural,Maharashtra,Outside_LF,NA,NA,0.0,1.3418,,1,0,0,1,0,0,0,0
W00180,Female,OBC,39,4.0,29,Rural,Bihar,Outside_LF,NA,NA,0.0,1.3317,,1,0,0,1,0,0,0,0
W00181,Female,OBC,47,11.0,30,Urban,Gujarat,Employed,Industry,Informal,19108.0,0.8542,9.857862374509853,1,1,1,1,0,0,1,0
W00182,Female,OBC,48,6.0,36,Rural,Odisha,Outside_LF,NA,NA,0.0,1.3177,,1,0,0,1,0,0,0,0
W00183,Male,General,54,16.0,32,Rural,West Bengal,Outside_LF,NA,NA,0.0,1.4992,,0,0,0,0,0,0,0,0
W00184,Male,OBC,20,6.0,8,Rural,Karnataka,Outside_LF,NA,NA,0.0,1.1009,,0,0,0,1,0,0,0,0
W00185,Female,General,23,10.0,7,Rural,Maharashtra,Outside_LF,NA,NA,0.0,1.2017,,1,0,0,0,0,0,0,0
W00186,Female,SC,22,5.0,11,Rural,Maharashtra,Outside_LF,NA,NA,0.0,1.2077,,1,0,0,0,1,0,0,0
W00187,Male,General,42,6.0,30,Urban,Gujarat,Employed,Agriculture,Informal,10100.0,0.8419,9.22029070282935,0,1,1,0,0,0,0,0
W00188,Male,OBC,46,11.0,29,Rural,Gujarat,Outside_LF,NA,NA,0.0,1.3983,,0,0,0,1,0,0,0,0
W00189,Female,SC,20,0.0,14,Rural,Telangana,Employed,Industry,Informal,3000.0,1.3595,8.006367567650246,1,1,0,0,1,0,1,0
W00190,Male,OBC,58,9.0,43,Rural,Jharkhand,Employed,Services,Informal,10754.0,1.1241,9.283033057369623,0,1,0,1,0,0,0,1
W00191,Female,OBC,30,11.0,13,Rural,Bihar,Outside_LF,NA,NA,0.0,1.4317,,1,0,0,1,0,0,0,0
W00192,Male,OBC,48,8.0,34,Rural,Rajasthan,Employed,Agriculture,Informal,17362.0,1.2244,9.762039188951753,0,1,0,1,0,0,0,0
W00193,Male,General,52,9.0,37,Urban,Kerala,Employed,Agriculture,Informal,17158.0,0.9633,9.75021981613291,0,1,1,0,0,0,0,0
